"ID"	"Site"	"A0"	"rate.sec"	"intercept"	"plant.sp"	"caterpillar.sp"	"phytchemdiv"	"host.parasitism"	"dietbreadth"	"max.abs"	"rate.min"	"cov"
"41"	89286	"Ecuador"	0.138	0.00013329	0.172727273	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.352	0.0079974	27
"42"	89284	"Ecuador"	0.138	0.000213636	0.216242424	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.535	0.01281816	16
"43"	89403	"Ecuador"	0.138	0.000826234	0.393796537	"Piper kelleii"	"Lime slime"	0.952466137	0	3	0.958	0.04957404	7
"44"	89293	"Ecuador"	0.138	0.000295108	0.218562771	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.507	0.01770648	27
"45"	89304	"Ecuador"	0.138	0.000121082	0.162627706	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.346	0.00726492	16
"46"	89309	"Ecuador"	0.138	0.000141515	0.151497835	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.353	0.0084909	16
"47"	89298	"Ecuador"	0.138	0.00021355	0.197268398	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.539	0.012813	27
"48"	89295	"Ecuador"	0.138	0.000359351	0.288670996	"Piper kelleii"	"Lime slime"	0.952466137	0	3	0.471	0.02156106	7
"49"	89453	"Ecuador"	0.138	0.000283766	0.254155844	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.224	0.01702596	27
"50"	89378	"Ecuador"	0.138	0.000270087	0.21325974	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.242	0.01620522	20
"51"	89444	"Ecuador"	0.138	0.0005971	0.241441558	"Piper baezanum"	"Eois viridiflava dognin"	0.957158038	0	2	0.487	0.035826	1
"52"	89310	"Ecuador"	0.138	0.000552511	0.289199134	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.643	0.03315066	27
"53"	89412	"Ecuador"	0.138	0.000485671	0.299489177	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.19	0.02914026	27
"54"	89409	"Ecuador"	0.138	0.000924199	0.29574026	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.834	0.05545194	27
"55"	89413	"Ecuador"	0.138	0.001015671	0.511917749	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.453	0.06094026	27
"56"	89406	"Ecuador"	0.138	0.000747229	0.378116883	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.136	0.04483374	27
"57"	89320	"Ecuador"	0.138	0.000670606	0.275770563	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.492	0.04023636	16
"58"	89317	"Ecuador"	0.138	0.000264545	0.26130303	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.792	0.0158727	27
"59"	89323	"Ecuador"	0.138	0.000127706	0.215307359	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.846	0.00766236	27
"60"	89361	"Ecuador"	0.138	9.82e-05	0.207865801	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.412	0.005892	20
"61"	89302	"Ecuador"	0.138	0.000349307	0.188779221	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.17	0.02095842	16
"62"	89307	"Ecuador"	0.138	6.47e-05	0.14474026	"Piper kelleii"	"Lime slime"	0.952466137	0	3	0.692	0.003882	7
"63"	89324	"Ecuador"	0.138	0.000377056	0.291025974	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.176	0.02262336	16
"64"	89435	"Ecuador"	0.138	0.000178745	0.1925671	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.739	0.0107247	27
"65"	89429	"Ecuador"	0.138	0.000196926	0.186874459	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.155	0.01181556	27
"66"	89411	"Ecuador"	0.138	0.000188268	0.202138528	"Piper kelleii"	"Lime slime"	0.952466137	0	3	0.98	0.01129608	7
"67"	89462	"Ecuador"	0.138	0.000385152	0.299359307	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.819	0.02310912	20
"68"	89463	"Ecuador"	0.138	0.000424286	0.327238095	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	1.043	0.02545716	20
"69"	89368	"Ecuador"	0.138	0.000287749	0.250437229	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.816	0.01726494	20
"70"	89392	"Ecuador"	0.138	0.00044	0.268142857	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.579	0.0264	20
"71"	89259	"Ecuador"	0.138	0.000268615	0.215320346	"Piper kelleii"	"Pink spots funk"	0.952466137	0.081	2	0.145	0.0161169	3
"72"	89351	"Ecuador"	0.138	0.000219913	0.246930736	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.16	0.01319478	20
"73"	89343	"Ecuador"	0.138	0.000384286	0.235714286	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.541	0.02305716	20
"74"	89341	"Ecuador"	0.138	0.000206407	0.239935065	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.346	0.01238442	20
"75"	89290	"Ecuador"	0.138	7.51e-05	0.197385281	"Piper kelleii"	"Pink spots funk"	0.952466137	0.081	2	0.678	0.004506	3
"76"	89360	"Ecuador"	0.138	0.000185628	0.204597403	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.719	0.01113768	20
"77"	89419	"Ecuador"	0.138	0.000162208	0.16495671	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	1.03	0.00973248	16
"78"	89374	"Ecuador"	0.138	6.53e-05	0.157748918	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.628	0.003918	20
"79"	89273	"Ecuador"	0.138	0.000304286	0.731190476	"Piper kelleii"	"Pink spots funk"	0.952466137	0.081	2	0.552	0.01825716	3
"80"	89386	"Ecuador"	0.138	8.56e-05	0.152692641	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.666	0.005136	20
"81"	89332	"Ecuador"	0.138	0.000258485	0.184883117	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.907	0.0155091	20
"82"	89328	"Ecuador"	0.138	4.48e-05	0.119619048	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.986	0.002688	20
"83"	89329	"Ecuador"	0.138	0.000334935	0.213424242	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.399	0.0200961	20
